time;gFx;gFy;gFz;TgF;Actividad;movil;sujeto
1,311916;-0,0537;0,7639;0,5643;0,951;stairs;Samsung Galaxy S10;Isaías
1,316136;-0,0628;0,7683;0,5577;0,951;stairs;Samsung Galaxy S10;Isaías
1,3212;-0,0704;0,7732;0,5519;0,953;stairs;Samsung Galaxy S10;Isaías
1,326244;-0,0752;0,7783;0,5446;0,953;stairs;Samsung Galaxy S10;Isaías
1,332578;-0,0762;0,783;0,5382;0,953;stairs;Samsung Galaxy S10;Isaías
1,336645;-0,0723;0,7857;0,5291;0,95;stairs;Samsung Galaxy S10;Isaías
1,341668;-0,0635;0,7903;0,5189;0,948;stairs;Samsung Galaxy S10;Isaías
1,346576;-0,0559;0,7937;0,5081;0,944;stairs;Samsung Galaxy S10;Isaías
1,351905;-0,0481;0,7998;0,4952;0,942;stairs;Samsung Galaxy S10;Isaías
1,357823;-0,0367;0,8047;0,4832;0,939;stairs;Samsung Galaxy S10;Isaías
1,363554;-0,0264;0,8176;0,4676;0,942;stairs;Samsung Galaxy S10;Isaías
1,367038;-0,0188;0,8286;0,452;0,944;stairs;Samsung Galaxy S10;Isaías
1,373086;-0,0122;0,8392;0,441;0,948;stairs;Samsung Galaxy S10;Isaías
1,378036;-0,01;0,847;0,4327;0,951;stairs;Samsung Galaxy S10;Isaías
1,382283;-0,0115;0,8504;0,4292;0,953;stairs;Samsung Galaxy S10;Isaías
1,387934;-0,0127;0,8502;0,4221;0,949;stairs;Samsung Galaxy S10;Isaías
1,392235;-0,0164;0,8504;0,4175;0,947;stairs;Samsung Galaxy S10;Isaías
1,397556;-0,0237;0,8453;0,4185;0,943;stairs;Samsung Galaxy S10;Isaías
1,404293;-0,0327;0,8414;0,4253;0,943;stairs;Samsung Galaxy S10;Isaías
1,40837;-0,0447;0,8323;0,4346;0,94;stairs;Samsung Galaxy S10;Isaías
1,412681;-0,0577;0,8225;0,45;0,939;stairs;Samsung Galaxy S10;Isaías
1,417961;-0,0701;0,8145;0,4629;0,939;stairs;Samsung Galaxy S10;Isaías
1,423697;-0,0765;0,8037;0,4732;0,936;stairs;Samsung Galaxy S10;Isaías
1,429308;-0,0801;0,801;0,4869;0,941;stairs;Samsung Galaxy S10;Isaías
1,434289;-0,0835;0,7974;0,505;0,948;stairs;Samsung Galaxy S10;Isaías
1,438139;-0,0828;0,7964;0,5299;0,96;stairs;Samsung Galaxy S10;Isaías
1,443998;-0,075;0,7974;0,5531;0,973;stairs;Samsung Galaxy S10;Isaías
1,45;-0,0674;0,801;0,5726;0,987;stairs;Samsung Galaxy S10;Isaías
1,453928;-0,0555;0,8025;0,5887;0,997;stairs;Samsung Galaxy S10;Isaías
1,458196;-0,0437;0,804;0,6015;1,005;stairs;Samsung Galaxy S10;Isaías
1,46343;-0,0337;0,8067;0,6064;1,01;stairs;Samsung Galaxy S10;Isaías
1,468982;-0,0227;0,8103;0,6088;1,014;stairs;Samsung Galaxy S10;Isaías
1,473317;-0,0144;0,8162;0,6044;1,016;stairs;Samsung Galaxy S10;Isaías
1,480203;-0,002;0,8245;0,5902;1,014;stairs;Samsung Galaxy S10;Isaías
1,483658;0,0029;0,8318;0,5687;1,008;stairs;Samsung Galaxy S10;Isaías
1,490222;0,0054;0,8348;0,5458;0,997;stairs;Samsung Galaxy S10;Isaías
1,49479;0,0032;0,837;0,5213;0,986;stairs;Samsung Galaxy S10;Isaías
1,500674;-0,0029;0,8338;0,4972;0,971;stairs;Samsung Galaxy S10;Isaías
1,504952;-0,0122;0,8343;0,4698;0,958;stairs;Samsung Galaxy S10;Isaías
1,509297;-0,0195;0,8318;0,4424;0,942;stairs;Samsung Galaxy S10;Isaías
1,523021;-0,0337;0,8331;0,4192;0,933;stairs;Samsung Galaxy S10;Isaías
1,523657;-0,0472;0,8323;0,3987;0,924;stairs;Samsung Galaxy S10;Isaías
1,524116;-0,0606;0,835;0,3836;0,921;stairs;Samsung Galaxy S10;Isaías
1,530766;-0,0728;0,8316;0,3762;0,916;stairs;Samsung Galaxy S10;Isaías
1,53512;-0,0875;0,8284;0,3799;0,916;stairs;Samsung Galaxy S10;Isaías
