time;gFx;gFy;gFz;TgF;Actividad;movil;sujeto
0,990983;-0,0212;0,1392;1,0004;1,01;standing;Samsung Galaxy S10;Isaías
0,995987;-0,0168;0,1385;1,0036;1,013;standing;Samsung Galaxy S10;Isaías
1,001559;-0,0132;0,1385;1,0068;1,016;standing;Samsung Galaxy S10;Isaías
1,00637;-0,012;0,139;1,0075;1,017;standing;Samsung Galaxy S10;Isaías
1,012236;-0,0146;0,1387;1,0102;1,02;standing;Samsung Galaxy S10;Isaías
1,016589;-0,0151;0,1409;1,0109;1,021;standing;Samsung Galaxy S10;Isaías
1,021771;-0,0144;0,14;1,0097;1,019;standing;Samsung Galaxy S10;Isaías
1,026238;-0,0151;0,1395;1,0085;1,018;standing;Samsung Galaxy S10;Isaías
1,032613;-0,0139;0,1424;1,008;1,018;standing;Samsung Galaxy S10;Isaías
1,037173;-0,0173;0,1422;1,0033;1,014;standing;Samsung Galaxy S10;Isaías
1,041654;-0,0186;0,1409;0,997;1,007;standing;Samsung Galaxy S10;Isaías
1,046463;-0,019;0,1402;0,9906;1,001;standing;Samsung Galaxy S10;Isaías
1,051788;-0,019;0,1397;0,9855;0,996;standing;Samsung Galaxy S10;Isaías
1,056997;-0,019;0,1395;0,9799;0,99;standing;Samsung Galaxy S10;Isaías
1,062781;-0,0156;0,1387;0,9747;0,985;standing;Samsung Galaxy S10;Isaías
1,069945;-0,0146;0,138;0,9738;0,984;standing;Samsung Galaxy S10;Isaías
1,074867;-0,0117;0,1383;0,9738;0,984;standing;Samsung Galaxy S10;Isaías
1,076927;-0,0105;0,14;0,974;0,984;standing;Samsung Galaxy S10;Isaías
1,082055;-0,0122;0,1402;0,9806;0,991;standing;Samsung Galaxy S10;Isaías
1,087329;-0,0103;0,1451;0,9874;0,998;standing;Samsung Galaxy S10;Isaías
1,092413;-0,0068;0,1485;0,9928;1,004;standing;Samsung Galaxy S10;Isaías
1,097303;-0,0076;0,151;0,9972;1,009;standing;Samsung Galaxy S10;Isaías
1,102382;-0,0083;0,1522;0,9996;1,011;standing;Samsung Galaxy S10;Isaías
1,107295;-0,0115;0,1478;1,0004;1,011;standing;Samsung Galaxy S10;Isaías
1,112488;-0,0137;0,1454;1,0006;1,011;standing;Samsung Galaxy S10;Isaías
