actividad,sujeto,movil,actividad_cat,userID,gFx_mean,gFy_mean,gFz_mean,TgF_mean,gFx_energia,gFy_energia,gFz_energia,TgF_energia,gFx_median,gFy_median,gFz_median,TgF_median,gFx_kurtosis,gFy_kurtosis,gFz_kurtosis,TgF_kurtosis
Standing,Alvaro,Unespecified,1,0,0.4540574921526515,0.21640023784355222,0.7141847743887065,1.0288024999999996,1.9445064385144214e-06,3.6617108128025584e-07,2.665865268983372e-06,1.0623493750000026e-05,0.45390715347761446,0.21633192389006342,0.7141416687673305,1.029,0.40906622889253397,0.217274862151573,2.238867868810278,2.289983505534214
Standing,Alvaro,Unespecified,1,0,0.45408000165207324,0.21639733086680799,0.7142535921351144,1.0289399999999995,1.921623214813019e-06,3.708479168715291e-07,2.2807816617164773e-06,9.061400000000015e-06,0.4540723608128201,0.21633192389006342,0.7141920846987648,1.029,0.4256440158468755,0.17326255070987218,1.5794137135097515,1.5937485917037995
Standing,Alvaro,Unespecified,1,0,0.45408805550966447,0.21640486257928157,0.714158558104361,1.0287474999999997,1.8793180477018274e-06,3.73262965462682e-07,2.2003504587157253e-06,8.773743750000019e-06,0.4540723608128201,0.21633192389006342,0.7140912528358961,1.029,0.40299777219157296,0.15688494091660532,1.6697523138751516,1.712902712023907
Standing,Alvaro,Unespecified,1,0,0.45402816785065253,0.21640208773784392,0.7141354928157303,1.0286999999999993,1.702864952569831e-06,3.725635806880216e-07,2.176152130168436e-06,8.670000000000024e-06,0.45390715347761446,0.21633192389006342,0.7140912528358961,1.029,0.282107250903032,0.17041133089625804,1.7539722231597805,1.8018542242869016
Standing,Alvaro,Unespecified,1,0,0.4539610523707251,0.21640288054968312,0.7141196117973279,1.0286649999999995,1.4336693077960088e-06,3.7232598855646973e-07,2.1902807914475336e-06,8.697775000000024e-06,0.45390715347761446,0.21633192389006342,0.7140912528358961,1.029,-0.28685359577939407,0.16503593638490566,1.7146628395479642,1.7900495865256714
Standing,Alvaro,Unespecified,1,0,0.4539513464397818,0.21640803382663862,0.7141492311570454,1.0287199999999992,1.4173412064240458e-06,3.7565369263707646e-07,2.103483052043506e-06,8.38160000000002e-06,0.45390715347761446,0.21633192389006342,0.7140912528358961,1.029,-0.26167134293667615,0.16037855156256464,1.9289663475441134,1.9922143915620572
Standing,Alvaro,Unespecified,1,0,0.4539703452833303,0.21640644820296007,0.7141522561129314,1.028727499999999,1.381525358807385e-06,3.7726138542612033e-07,2.309425586904941e-06,9.193243750000029e-06,0.45390715347761446,0.21633192389006342,0.7140912528358961,1.029,-0.25159560163797057,0.18599159707195678,2.851896819816181,2.862258990330873
Standing,Alvaro,Unespecified,1,0,0.4540124731538077,0.2164119978858353,0.7141622132593897,1.0287449999999987,1.2840849643884472e-06,3.7066265157847437e-07,2.341326134077292e-06,9.304975000000032e-06,0.45390715347761446,0.21633192389006342,0.7140912528358961,1.029,-0.2600290094876301,0.2362177085435193,2.7036769329213017,2.735938301876506
Standing,Alvaro,Unespecified,1,0,0.454020940029737,0.2164238900634251,0.7141269221073862,1.0286799999999985,1.269418949658002e-06,3.744552561357738e-07,2.2062960786458265e-06,8.797600000000029e-06,0.4539897571452173,0.21633192389006342,0.7140912528358961,1.029,-0.23685068467157988,0.13800716542178693,2.750509589659745,2.79894133006038
Standing,Alvaro,Unespecified,1,0,0.45402961341483533,0.2164331395348839,0.7141491051172173,1.0287249999999986,1.2685639819105504e-06,3.78115865064433e-07,2.130535688652483e-06,8.494375000000033e-06,0.4539897571452173,0.21641120507399575,0.7140912528358961,1.029,-0.25149124156676894,0.09842340163487417,3.0061704793840205,3.060100837028286
