time;gFx;gFy;gFz;TgF;Actividad;movil;sujeto
1,210652;-0,0589;1,0546;0,3423;1,11;walking;Samsung Galaxy S10;Isaías
1,215707;-0,0708;1,0361;0,3574;1,098;walking;Samsung Galaxy S10;Isaías
1,220727;-0,0799;1,0151;0,3713;1,084;walking;Samsung Galaxy S10;Isaías
1,22589;-0,0872;0,9957;0,3814;1,07;walking;Samsung Galaxy S10;Isaías
1,231049;-0,0892;0,9762;0,3906;1,055;walking;Samsung Galaxy S10;Isaías
1,239013;-0,0884;0,9598;0,397;1,042;walking;Samsung Galaxy S10;Isaías
1,241946;-0,085;0,9417;0,4019;1,027;walking;Samsung Galaxy S10;Isaías
1,246604;-0,0801;0,9264;0,4031;1,013;walking;Samsung Galaxy S10;Isaías
1,251506;-0,0706;0,9129;0,3987;0,999;walking;Samsung Galaxy S10;Isaías
1,256262;-0,0606;0,9039;0,3923;0,987;walking;Samsung Galaxy S10;Isaías
1,261637;-0,0479;0,9002;0,3794;0,978;walking;Samsung Galaxy S10;Isaías
1,266337;-0,0379;0,9012;0,3659;0,973;walking;Samsung Galaxy S10;Isaías
1,271926;-0,0283;0,9027;0,3493;0,968;walking;Samsung Galaxy S10;Isaías
1,276685;-0,0203;0,9073;0,3364;0,968;walking;Samsung Galaxy S10;Isaías
1,281709;-0,0115;0,9139;0,3222;0,969;walking;Samsung Galaxy S10;Isaías
1,286667;-0,002;0,9198;0,309;0,97;walking;Samsung Galaxy S10;Isaías
1,29193;0,0056;0,9259;0,3002;0,973;walking;Samsung Galaxy S10;Isaías
1,296741;0,0139;0,9293;0,2875;0,973;walking;Samsung Galaxy S10;Isaías
1,302046;0,0212;0,9298;0,2765;0,97;walking;Samsung Galaxy S10;Isaías
1,307172;0,0283;0,9288;0,2646;0,966;walking;Samsung Galaxy S10;Isaías
1,312176;0,034;0,9295;0,2563;0,965;walking;Samsung Galaxy S10;Isaías
1,317165;0,0386;0,9305;0,2494;0,964;walking;Samsung Galaxy S10;Isaías
1,322685;0,0376;0,9325;0,2458;0,965;walking;Samsung Galaxy S10;Isaías
1,327059;0,0369;0,9315;0,2455;0,964;walking;Samsung Galaxy S10;Isaías
1,332136;0,0357;0,9337;0,2455;0,966;walking;Samsung Galaxy S10;Isaías
1,338318;0,0342;0,9308;0,2528;0,965;walking;Samsung Galaxy S10;Isaías
1,343024;0,0325;0,9259;0,2563;0,961;walking;Samsung Galaxy S10;Isaías
1,347478;0,0327;0,9222;0,268;0,961;walking;Samsung Galaxy S10;Isaías
1,352999;0,0364;0,9154;0,2839;0,959;walking;Samsung Galaxy S10;Isaías
1,357921;0,0403;0,9068;0,2975;0,955;walking;Samsung Galaxy S10;Isaías
1,362944;0,044;0,9032;0,31;0,956;walking;Samsung Galaxy S10;Isaías
1,368917;0,044;0,898;0,3247;0,956;walking;Samsung Galaxy S10;Isaías
1,373166;0,0432;0,8924;0,3405;0,956;walking;Samsung Galaxy S10;Isaías
1,378114;0,0413;0,889;0,3574;0,959;walking;Samsung Galaxy S10;Isaías
1,383049;0,0364;0,8846;0,3703;0,96;walking;Samsung Galaxy S10;Isaías
1,388074;0,0303;0,8802;0,3782;0,958;walking;Samsung Galaxy S10;Isaías
1,39312;0,0261;0,8804;0,3784;0,959;walking;Samsung Galaxy S10;Isaías
1,398333;0,0186;0,8824;0,3753;0,959;walking;Samsung Galaxy S10;Isaías
1,403425;0,0088;0,8853;0,3679;0,959;walking;Samsung Galaxy S10;Isaías
1,408429;-0,0012;0,8922;0,3579;0,961;walking;Samsung Galaxy S10;Isaías
1,413494;-0,0139;0,9012;0,3457;0,965;walking;Samsung Galaxy S10;Isaías
1,421549;-0,0249;0,9088;0,3318;0,968;walking;Samsung Galaxy S10;Isaías
1,426753;-0,0386;0,9142;0,3193;0,969;walking;Samsung Galaxy S10;Isaías
1,428677;-0,0506;0,9129;0,3034;0,963;walking;Samsung Galaxy S10;Isaías
1,433552;-0,065;0,909;0,2905;0,957;walking;Samsung Galaxy S10;Isaías
1,438663;-0,0728;0,9037;0,2741;0,947;walking;Samsung Galaxy S10;Isaías
1,44415;-0,0801;0,8998;0,2587;0,94;walking;Samsung Galaxy S10;Isaías
1,44912;-0,086;0,8929;0,244;0,93;walking;Samsung Galaxy S10;Isaías
1,454201;-0,0941;0,8893;0,2311;0,924;walking;Samsung Galaxy S10;Isaías
1,459222;-0,1002;0,8856;0,2199;0,918;walking;Samsung Galaxy S10;Isaías
1,464093;-0,1072;0,8814;0,2103;0,912;walking;Samsung Galaxy S10;Isaías
1,46914;-0,1138;0,8795;0,2028;0,91;walking;Samsung Galaxy S10;Isaías
1,474553;-0,1131;0,8812;0,1993;0,91;walking;Samsung Galaxy S10;Isaías
1,479427;-0,1104;0,8883;0,1966;0,916;walking;Samsung Galaxy S10;Isaías
1,484279;-0,1043;0,8949;0,1954;0,922;walking;Samsung Galaxy S10;Isaías
1,489631;-0,0968;0,9056;0,1949;0,931;walking;Samsung Galaxy S10;Isaías
1,494514;-0,0855;0,9151;0,1957;0,94;walking;Samsung Galaxy S10;Isaías
1,499581;-0,0733;0,9259;0,1981;0,95;walking;Samsung Galaxy S10;Isaías
1,50509;-0,0584;0,9354;0,2057;0,96;walking;Samsung Galaxy S10;Isaías
1,510164;-0,0428;0,9537;0,2145;0,978;walking;Samsung Galaxy S10;Isaías
1,514719;-0,0264;0,9657;0,226;0,992;walking;Samsung Galaxy S10;Isaías
1,520079;-0,0139;0,9794;0,2377;1,008;walking;Samsung Galaxy S10;Isaías
1,525285;-0,0046;0,9867;0,2477;1,017;walking;Samsung Galaxy S10;Isaías
1,529956;0,0002;0,9896;0,255;1,022;walking;Samsung Galaxy S10;Isaías
1,539892;0,0017;0,9884;0,2587;1,022;walking;Samsung Galaxy S10;Isaías
1,540682;-0,0015;0,9872;0,2599;1,021;walking;Samsung Galaxy S10;Isaías
1,548702;-0,0054;0,9865;0,2587;1,02;walking;Samsung Galaxy S10;Isaías
1,550704;-0,009;0,986;0,2553;1,019;walking;Samsung Galaxy S10;Isaías
1,558776;-0,0139;0,9852;0,2511;1,017;walking;Samsung Galaxy S10;Isaías
1,560407;-0,0188;0,9848;0,246;1,015;walking;Samsung Galaxy S10;Isaías
